spotifyid,link,genre,notes
5ZfbgEVemeCROpsnrgsL5W,https://p.scdn.co/mp3-preview/c219259406f83427c8816d4c33142d16e3d66350,Country / Folk,
6HVKpVhYD0LAH6IgSWvFvT,https://p.scdn.co/mp3-preview/4691ed4adc443faa8829d9683adb7215e7d0acbf,Electronic / Dance,
0foOvSYoV5Y9KikZZYYOih,https://p.scdn.co/mp3-preview/288c0895fac0f820647eebbf8e704de47b221f94,Rock / Pop,
6oAg2LmuOzr5c2T9XAI7h9,https://p.scdn.co/mp3-preview/7a96539ca277baf8180526fdfb5c7ee00e1f8f1d,Country / Folk,
4djKcHwFsj7iERvvSdkiMh,https://p.scdn.co/mp3-preview/36f08847d44ed2c3fc4fd4cf87909150741631ee,Rock / Pop,
5SxVi2cFHA2dlyJLPYeiBP,https://p.scdn.co/mp3-preview/08b46c52dc05e506769d789d2241fddb796f6b75,Rock / Pop,
3X9Kv2UuINBSaOt8YdmhR3,https://p.scdn.co/mp3-preview/fa8b85e6eca0c7a7ff1cda6ab65cc928ca131433,Soul / Funk / Disco,
7Kevg9ZoKNMT3uNuz4fOmh,https://p.scdn.co/mp3-preview/9b848270d4c74bbfd2faa4b5d8151dba444fc528,Country / Folk,
2b7dgxPTNoKuGpEmA4OZg1,https://p.scdn.co/mp3-preview/4c571b5f367c2cf6dd0a10fc46abd85bc6434e66,Rock / Pop,
2YUQHX2CexpLIHNvXUiwdR,https://p.scdn.co/mp3-preview/7cf53d9ae1443da3dbdf3ac34e13d1008ac33251,Country / Folk,
6xS9VDmREYFio4BNGFImjc,https://p.scdn.co/mp3-preview/73d9d56f3bd8adfc1a31a40f2a759d73fe0dfe1a,Soul / Funk / Disco,
1Nt1qYeXNL5Av9Kp5QwTqV,https://p.scdn.co/mp3-preview/580b29dc7dc15851ee6dac54972ecbb07c85808d,Hip-Hop / R&B,
3BxFBrbspko3bVHWKrawAW,https://p.scdn.co/mp3-preview/d257cd8e47528f937903be948ef88c8e76adad19,Jazz / Blues,
2us6HxwwgIaQtL4o80M00Z,https://p.scdn.co/mp3-preview/92cd6d2dd848e442ddb9a6601de3b3393e813218,Jazz / Blues,
2Rqeq6s8K7XyB78ZLQuTxo,https://p.scdn.co/mp3-preview/cf03b3984494f420f785771d141ccd484a0d204d,Jazz / Blues,
0y2F4Fqj35Tov8lxFYTAuO,https://p.scdn.co/mp3-preview/c6b18c36c7ce3c177ade665f120c8bf402ebcf63,Soul / Funk / Disco,
4RKCHn6JdfQuLxwWDYYErQ,https://p.scdn.co/mp3-preview/ea8ab7b6809f86a49762865bec15d727d5dcc1ee,Jazz / Blues,
4ZxFKHrhN7uXdst8fqUzvr,https://p.scdn.co/mp3-preview/226c01767a8cc6998d228f2b19a13d7933ae29f9,Soul / Funk / Disco,
0GQVZndjnYknxJdI4pDyRP,https://p.scdn.co/mp3-preview/bc415de6539e92f378317b5877b2e3c5b77e1be8,Jazz / Blues,
3FlnU0OaOEcfOHRyfUWV2I,https://p.scdn.co/mp3-preview/b8065654b0318298acc2e33f99dba87f528b972f,Soul / Funk / Disco,
0dIFPhHaE7eevyTaYNt4EV,https://p.scdn.co/mp3-preview/1334b985add35a905193c9b8ec47876d8247fb5c,Soul / Funk / Disco,
5iMvMHHf4McLEi6gj9puu9,https://p.scdn.co/mp3-preview/e6c20c1af55920eca099ca73d7ea4578d25a5c2e,Jazz / Blues,
2Ffd6o9rwIuckM44I8S5tp,https://p.scdn.co/mp3-preview/e3f83a684ba80c8bbb188eb82284ac0d06a3b15a,Instrumental,
7AqqhlpyKyhU6GoOSCJHPa,https://p.scdn.co/mp3-preview/77ff4ddadf43bce3fefad90f5f007ed2a42d92ab,Soul / Funk / Disco,
0DGlHaz21CuIgHhgbWVQAf,https://p.scdn.co/mp3-preview/c90c53eb61006cac05e10504fac0405c68506e1d,Instrumental,
6F8u1IvpfzXYC407L8gdyE,https://p.scdn.co/mp3-preview/8892fc2ebf0c02ac70e278bc189b503823c13248,Soul / Funk / Disco,
3TRZ4FaQuWmZKJW0r4uah3,https://p.scdn.co/mp3-preview/c42653b40ed19ccec4361ef182acdf2d2aad867a,Rock / Pop,
2t8DKy5csqBnhgSeKASXix,https://p.scdn.co/mp3-preview/ad73f959ee98370fa8bfd63e24d4963b8a7575da,Soul / Funk / Disco,
65wluvJNqci015iHQGbkRw,https://p.scdn.co/mp3-preview/845f269a4b576a1c70f2f22157c1090990fd9eeb,Jazz / Blues,
1ABgf9dk52llkS7c4tnin9,https://p.scdn.co/mp3-preview/29050a6da540bbcc0d39e70594fa73b38a45cc38,Soul / Funk / Disco,
32Ex3b1Zppq8xvaRhDlCaY,https://p.scdn.co/mp3-preview/04ce6dd74b9f21e337b3599d27c19b2b4579f531,Rock / Pop,
22DNouY2PGSeVKGNZUUYdB,https://p.scdn.co/mp3-preview/5490eaff3e6b0ec342c52a1700110f8dcfb3bfb0,Jazz / Blues,
1yfgMwpQ30ZaJTQwxYvg2B,https://p.scdn.co/mp3-preview/c0bafa0dd098ce4c55f789d4465a29e4e4566490,Hip-Hop / R&B,
